Latitude,Longitude,Crime_Severity,Resolved,Suspect_Arrested,Hour,DayOfWeek
19.010517894830123,72.84713238134093,5,No,No,18,1
19.04435429032757,72.90118811786999,6,Yes,Yes,17,2
19.18142636379497,72.8073020818006,1,Yes,No,4,6
19.01531831845169,72.8457445193919,4,Yes,Yes,2,6
19.14356698938531,72.85160769093528,6,No,Yes,6,1
19.056133530367166,72.87564542790415,2,Yes,Yes,18,0
19.20101411382925,72.80681356973429,1,Yes,Yes,19,4
18.932641759912414,72.81954252860461,7,No,No,19,4
19.197760276946504,72.99109051395091,1,Yes,Yes,12,5
19.067110016280534,72.89027870054439,3,Yes,Yes,13,3
19.027260744471498,72.84557718175006,6,Yes,No,10,4
18.9143358502729,72.80633497103423,2,Yes,Yes,10,0
19.22387680657418,72.9847717560156,4,No,Yes,12,0
19.082170774573587,72.90305800647585,4,Yes,No,0,3
18.936205564162695,72.81963376764504,6,No,Yes,0,1
19.06855097758949,72.89188467004091,3,Yes,Yes,9,5
19.05102751000002,72.88268876181156,5,Yes,Yes,0,1
18.938792286536238,72.81844452236157,6,No,Yes,4,0
18.91322815274272,72.83199193985872,3,No,No,4,4
19.123425797137227,72.84030612911559,4,No,No,7,5
19.034815286774037,72.899477009508,1,Yes,No,4,6
19.05623953909406,72.88260106360953,1,No,No,9,3
19.078636058555784,72.89326413973677,6,No,No,13,5
19.07545018850246,72.89293908212498,7,No,Yes,20,4
18.90350603365227,72.82228204157431,1,No,Yes,20,3
19.121936845511318,72.85624930179226,5,No,Yes,1,2
19.014202242960597,72.82691479533139,7,Yes,Yes,23,5
19.018612037329067,72.84798161698194,6,Yes,No,20,6
19.131219717200914,72.85780146881062,5,Yes,No,11,0
18.920015403769302,72.81213956053973,4,Yes,No,21,0
19.064568754779895,72.87775249289439,4,No,Yes,8,1
19.20377210902413,72.97682699577916,4,Yes,Yes,12,1
19.11038613079073,72.83688443873562,3,Yes,Yes,3,3
19.083082693983105,72.88381812941802,5,Yes,No,4,1
19.020432349182343,72.87180779710151,1,Yes,No,1,2
19.205382941289116,72.9879515142947,7,No,Yes,9,3
19.03129614797253,72.83530567535064,5,No,Yes,7,6
19.064208421906773,72.89303374340186,4,Yes,Yes,2,1
19.074697413120735,72.8806908024065,9,No,Yes,19,1
19.06246056377981,72.90961283656735,2,No,No,23,4
19.052785955060198,72.89931716619526,6,No,Yes,1,3
